id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
325,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9.08,TAHUN,2022
326,32,JAWA BARAT,3205,KABUPATEN GARUT,7.83,TAHUN,2022
327,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.73,TAHUN,2022
328,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.0,TAHUN,2022
329,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.88,TAHUN,2022
330,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.4,TAHUN,2022
331,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.49,TAHUN,2022
332,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.72,TAHUN,2022
333,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.83,TAHUN,2022
334,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.2,TAHUN,2022
335,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.11,TAHUN,2022
336,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.96,TAHUN,2022
337,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.53,TAHUN,2022
338,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.22,TAHUN,2022
339,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8.03,TAHUN,2022
340,32,JAWA BARAT,3271,KOTA BOGOR,10.63,TAHUN,2022
341,32,JAWA BARAT,3272,KOTA SUKABUMI,10.14,TAHUN,2022
342,32,JAWA BARAT,3273,KOTA BANDUNG,11.0,TAHUN,2022
343,32,JAWA BARAT,3274,KOTA CIREBON,10.33,TAHUN,2022
344,32,JAWA BARAT,3275,KOTA BEKASI,11.44,TAHUN,2022
345,32,JAWA BARAT,3276,KOTA DEPOK,11.47,TAHUN,2022
346,32,JAWA BARAT,3277,KOTA CIMAHI,11.21,TAHUN,2022
347,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.53,TAHUN,2022
348,32,JAWA BARAT,3279,KOTA BANJAR,8.78,TAHUN,2022
349,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.37,TAHUN,2023
350,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.33,TAHUN,2023
351,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.22,TAHUN,2023
352,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9.1,TAHUN,2023
353,32,JAWA BARAT,3205,KABUPATEN GARUT,7.84,TAHUN,2023
354,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.96,TAHUN,2023
355,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.09,TAHUN,2023
356,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.89,TAHUN,2023
357,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.64,TAHUN,2023
358,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.52,TAHUN,2023
359,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.73,TAHUN,2023
360,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.94,TAHUN,2023
361,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.45,TAHUN,2023
362,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.13,TAHUN,2023
363,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.04,TAHUN,2023
364,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.57,TAHUN,2023
365,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.23,TAHUN,2023
366,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8.04,TAHUN,2023
367,32,JAWA BARAT,3271,KOTA BOGOR,10.64,TAHUN,2023
368,32,JAWA BARAT,3272,KOTA SUKABUMI,10.37,TAHUN,2023
369,32,JAWA BARAT,3273,KOTA BANDUNG,11.06,TAHUN,2023
370,32,JAWA BARAT,3274,KOTA CIREBON,10.37,TAHUN,2023
371,32,JAWA BARAT,3275,KOTA BEKASI,11.66,TAHUN,2023
372,32,JAWA BARAT,3276,KOTA DEPOK,11.58,TAHUN,2023
373,32,JAWA BARAT,3277,KOTA CIMAHI,11.39,TAHUN,2023
374,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.54,TAHUN,2023
375,32,JAWA BARAT,3279,KOTA BANJAR,8.79,TAHUN,2023
376,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.39,TAHUN,2024
377,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.34,TAHUN,2024
378,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.33,TAHUN,2024
379,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9.15,TAHUN,2024
380,32,JAWA BARAT,3205,KABUPATEN GARUT,7.85,TAHUN,2024
381,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.97,TAHUN,2024
382,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8.1,TAHUN,2024
383,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.9,TAHUN,2024
384,32,JAWA BARAT,3209,KABUPATEN CIREBON,7.65,TAHUN,2024
385,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.53,TAHUN,2024
386,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.74,TAHUN,2024
387,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.95,TAHUN,2024
388,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.46,TAHUN,2024
389,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.14,TAHUN,2024
390,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.05,TAHUN,2024
391,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.76,TAHUN,2024
392,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.24,TAHUN,2024
393,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8.1,TAHUN,2024
394,32,JAWA BARAT,3271,KOTA BOGOR,10.71,TAHUN,2024
395,32,JAWA BARAT,3272,KOTA SUKABUMI,10.38,TAHUN,2024
396,32,JAWA BARAT,3273,KOTA BANDUNG,11.07,TAHUN,2024
397,32,JAWA BARAT,3274,KOTA CIREBON,10.53,TAHUN,2024
398,32,JAWA BARAT,3275,KOTA BEKASI,11.79,TAHUN,2024
399,32,JAWA BARAT,3276,KOTA DEPOK,11.59,TAHUN,2024
400,32,JAWA BARAT,3277,KOTA CIMAHI,11.52,TAHUN,2024
401,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.63,TAHUN,2024
402,32,JAWA BARAT,3279,KOTA BANJAR,8.83,TAHUN,2024
