id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
132,32,JAWA BARAT,3279,KOTA BANJAR,7.77,TAHUN,2014
133,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.75,TAHUN,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.51,TAHUN,2015
135,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.54,TAHUN,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.41,TAHUN,2015
137,32,JAWA BARAT,3205,KABUPATEN GARUT,6.84,TAHUN,2015
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.88,TAHUN,2015
139,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.45,TAHUN,2015
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.2,TAHUN,2015
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.32,TAHUN,2015
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.8,TAHUN,2015
143,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.66,TAHUN,2015
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.46,TAHUN,2015
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.45,TAHUN,2015
146,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.35,TAHUN,2015
147,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.81,TAHUN,2015
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.66,TAHUN,2015
149,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.53,TAHUN,2015
150,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.06,TAHUN,2015
151,32,JAWA BARAT,3271,KOTA BOGOR,10.2,TAHUN,2015
152,32,JAWA BARAT,3272,KOTA SUKABUMI,9.08,TAHUN,2015
153,32,JAWA BARAT,3273,KOTA BANDUNG,10.52,TAHUN,2015
154,32,JAWA BARAT,3274,KOTA CIREBON,9.76,TAHUN,2015
155,32,JAWA BARAT,3275,KOTA BEKASI,10.71,TAHUN,2015
156,32,JAWA BARAT,3276,KOTA DEPOK,10.71,TAHUN,2015
157,32,JAWA BARAT,3277,KOTA CIMAHI,10.78,TAHUN,2015
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.56,TAHUN,2015
159,32,JAWA BARAT,3279,KOTA BANJAR,8.06,TAHUN,2015
160,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.83,TAHUN,2016
161,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.74,TAHUN,2016
162,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.61,TAHUN,2016
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.5,TAHUN,2016
164,32,JAWA BARAT,3205,KABUPATEN GARUT,6.88,TAHUN,2016
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.94,TAHUN,2016
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.55,TAHUN,2016
167,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.34,TAHUN,2016
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.41,TAHUN,2016
169,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.89,TAHUN,2016
170,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.72,TAHUN,2016
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.56,TAHUN,2016
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.58,TAHUN,2016
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.42,TAHUN,2016
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.94,TAHUN,2016
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.81,TAHUN,2016
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.63,TAHUN,2016
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.07,TAHUN,2016
178,32,JAWA BARAT,3271,KOTA BOGOR,10.28,TAHUN,2016
179,32,JAWA BARAT,3272,KOTA SUKABUMI,9.28,TAHUN,2016
180,32,JAWA BARAT,3273,KOTA BANDUNG,10.58,TAHUN,2016
181,32,JAWA BARAT,3274,KOTA CIREBON,9.87,TAHUN,2016
182,32,JAWA BARAT,3275,KOTA BEKASI,10.78,TAHUN,2016
183,32,JAWA BARAT,3276,KOTA DEPOK,10.76,TAHUN,2016
184,32,JAWA BARAT,3277,KOTA CIMAHI,10.89,TAHUN,2016
185,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.63,TAHUN,2016
186,32,JAWA BARAT,3279,KOTA BANJAR,8.19,TAHUN,2016
187,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.84,TAHUN,2017
188,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.79,TAHUN,2017
189,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.92,TAHUN,2017
190,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.51,TAHUN,2017
191,32,JAWA BARAT,3205,KABUPATEN GARUT,7.28,TAHUN,2017
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.12,TAHUN,2017
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.59,TAHUN,2017
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.35,TAHUN,2017
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.61,TAHUN,2017
196,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.9,TAHUN,2017
197,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.98,TAHUN,2017
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.97,TAHUN,2017
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.83,TAHUN,2017
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.74,TAHUN,2017
201,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.34,TAHUN,2017
202,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.82,TAHUN,2017
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.74,TAHUN,2017
204,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.37,TAHUN,2017
205,32,JAWA BARAT,3271,KOTA BOGOR,10.29,TAHUN,2017
206,32,JAWA BARAT,3272,KOTA SUKABUMI,9.52,TAHUN,2017
207,32,JAWA BARAT,3273,KOTA BANDUNG,10.59,TAHUN,2017
208,32,JAWA BARAT,3274,KOTA CIREBON,9.88,TAHUN,2017
209,32,JAWA BARAT,3275,KOTA BEKASI,10.93,TAHUN,2017
210,32,JAWA BARAT,3276,KOTA DEPOK,10.84,TAHUN,2017
211,32,JAWA BARAT,3277,KOTA CIMAHI,10.93,TAHUN,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.03,TAHUN,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,8.59,TAHUN,2017
214,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.88,TAHUN,2018
215,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.8,TAHUN,2018
216,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.93,TAHUN,2018
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.58,TAHUN,2018
218,32,JAWA BARAT,3205,KABUPATEN GARUT,7.5,TAHUN,2018
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.13,TAHUN,2018
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.6,TAHUN,2018
221,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.36,TAHUN,2018
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.62,TAHUN,2018
223,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.91,TAHUN,2018
224,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.17,TAHUN,2018
225,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.98,TAHUN,2018
226,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.84,TAHUN,2018
227,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.75,TAHUN,2018
228,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.35,TAHUN,2018
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.84,TAHUN,2018
230,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.97,TAHUN,2018
231,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.58,TAHUN,2018
232,32,JAWA BARAT,3271,KOTA BOGOR,10.3,TAHUN,2018
233,32,JAWA BARAT,3272,KOTA SUKABUMI,9.53,TAHUN,2018
234,32,JAWA BARAT,3273,KOTA BANDUNG,10.63,TAHUN,2018
235,32,JAWA BARAT,3274,KOTA CIREBON,9.89,TAHUN,2018
236,32,JAWA BARAT,3275,KOTA BEKASI,11.09,TAHUN,2018
237,32,JAWA BARAT,3276,KOTA DEPOK,10.85,TAHUN,2018
238,32,JAWA BARAT,3277,KOTA CIMAHI,10.94,TAHUN,2018
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.04,TAHUN,2018
240,32,JAWA BARAT,3279,KOTA BANJAR,8.6,TAHUN,2018
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.29,TAHUN,2019
242,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.02,TAHUN,2019
243,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.97,TAHUN,2019
244,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.79,TAHUN,2019
245,32,JAWA BARAT,3205,KABUPATEN GARUT,7.51,TAHUN,2019
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.17,TAHUN,2019
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.69,TAHUN,2019
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.38,TAHUN,2019
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.71,TAHUN,2019
250,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.09,TAHUN,2019
251,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.27,TAHUN,2019
252,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.99,TAHUN,2019
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.85,TAHUN,2019
254,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.92,TAHUN,2019
255,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.65,TAHUN,2019
256,32,JAWA BARAT,3216,KABUPATEN BEKASI,8.84,TAHUN,2019
257,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.18,TAHUN,2019
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.67,TAHUN,2019
259,32,JAWA BARAT,3271,KOTA BOGOR,10.32,TAHUN,2019
260,32,JAWA BARAT,3272,KOTA SUKABUMI,9.58,TAHUN,2019
261,32,JAWA BARAT,3273,KOTA BANDUNG,10.74,TAHUN,2019
262,32,JAWA BARAT,3274,KOTA CIREBON,9.9,TAHUN,2019
263,32,JAWA BARAT,3275,KOTA BEKASI,11.1,TAHUN,2019
264,32,JAWA BARAT,3276,KOTA DEPOK,11.0,TAHUN,2019
265,32,JAWA BARAT,3277,KOTA CIMAHI,10.95,TAHUN,2019
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.13,TAHUN,2019
267,32,JAWA BARAT,3279,KOTA BANJAR,8.62,TAHUN,2019
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.3,TAHUN,2020
269,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.07,TAHUN,2020
270,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.18,TAHUN,2020
271,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.96,TAHUN,2020
272,32,JAWA BARAT,3205,KABUPATEN GARUT,7.52,TAHUN,2020
273,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.35,TAHUN,2020
274,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.7,TAHUN,2020
275,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.57,TAHUN,2020
276,32,JAWA BARAT,3209,KABUPATEN CIREBON,6.92,TAHUN,2020
277,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7.27,TAHUN,2020
278,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8.51,TAHUN,2020
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.3,TAHUN,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,7.1,TAHUN,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.09,TAHUN,2020
282,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.77,TAHUN,2020
283,32,JAWA BARAT,3216,KABUPATEN BEKASI,9.12,TAHUN,2020
284,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.19,TAHUN,2020
285,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.74,TAHUN,2020
286,32,JAWA BARAT,3271,KOTA BOGOR,10.33,TAHUN,2020
287,32,JAWA BARAT,3272,KOTA SUKABUMI,9.59,TAHUN,2020
288,32,JAWA BARAT,3273,KOTA BANDUNG,10.75,TAHUN,2020
289,32,JAWA BARAT,3274,KOTA CIREBON,9.91,TAHUN,2020
290,32,JAWA BARAT,3275,KOTA BEKASI,11.16,TAHUN,2020
291,32,JAWA BARAT,3276,KOTA DEPOK,11.28,TAHUN,2020
292,32,JAWA BARAT,3277,KOTA CIMAHI,10.96,TAHUN,2020
293,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9.33,TAHUN,2020
294,32,JAWA BARAT,3279,KOTA BANJAR,8.63,TAHUN,2020
295,32,JAWA BARAT,3201,KABUPATEN BOGOR,8.31,TAHUN,2021
296,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.1,TAHUN,2021
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7.19,TAHUN,2021
